"trip_id","arrival_time","departure_time","stop_id","stop_sequence","stop_headsign","layover","pattern_id","pickup_type","drop_off_type","shape_dist_traveled","timepoint"
"704543","23:24:00","23:24:00","02507","16","101 EmX EUGENE STATION","False","25653","","","","1"
"704560","06:41:00","06:41:00","02507","28","101 EmX EUGENE STATION","False","25656","","","","1"
"704562","08:58:00","08:58:00","02507","28","101 EmX EUGENE STATION","False","25656","","","","1"
"704564","11:11:00","11:11:00","02507","28","101 EmX EUGENE STATION","False","25656","","","","1"
"704566","13:28:00","13:28:00","02507","16","101 EmX EUGENE STATION","False","25655","","","","1"
"704568","15:43:00","15:43:00","02507","28","101 EmX EUGENE STATION","False","25656","","","","1"
"704570","17:58:00","17:58:00","02507","16","101 EmX EUGENE STATION","False","25655","","","","1"
"704572","20:09:00","20:09:00","02507","28","101 EmX EUGENE STATION","False","25656","","","","1"
"704574","22:25:00","22:25:00","02507","16","101 EmX EUGENE STATION","False","25653","","","","1"
"704629","07:58:00","07:58:00","02507","28","101 EmX EUGENE STATION","False","25656","","","","1"
"704631","10:07:00","10:07:00","02507","16","101 EmX EUGENE STATION","False","25655","","","","1"
"704633","12:27:00","12:27:00","02507","16","101 EmX EUGENE STATION","False","25655","","","","1"
"704635","14:43:00","14:43:00","02507","28","101 EmX EUGENE STATION","False","25656","","","","1"
"704637","16:57:00","16:57:00","02507","16","101 EmX EUGENE STATION","False","25655","","","","1"
"704639","19:11:00","19:11:00","02507","28","101 EmX EUGENE STATION","False","25656","","","","1"
"704641","21:25:00","21:25:00","02507","16","101 EmX EUGENE STATION","False","25655","","","","1"
"704685","08:08:00","08:08:00","02507","16","101 EmX EUGENE STATION","False","25655","","","","1"
"704687","10:16:00","10:16:00","02507","28","101 EmX EUGENE STATION","False","25656","","","","1"
"704689","12:41:00","12:41:00","02507","28","101 EmX EUGENE STATION","False","25656","","","","1"
"704691","14:58:00","14:58:00","02507","16","101 EmX EUGENE STATION","False","25655","","","","1"
"704693","17:12:00","17:12:00","02507","28","101 EmX EUGENE STATION","False","25656","","","","1"
"704695","19:25:00","19:25:00","02507","16","101 EmX EUGENE STATION","False","25655","","","","1"
"704697","21:39:00","21:39:00","02507","28","101 EmX EUGENE STATION","False","25656","","","","1"
"704712","07:06:00","07:06:00","02507","28","101 EmX EUGENE STATION","False","25656","","","","1"
"704714","09:17:00","09:17:00","02507","28","101 EmX EUGENE STATION","False","25656","","","","1"
"704716","11:27:00","11:27:00","02507","16","101 EmX EUGENE STATION","False","25655","","","","1"
"704726","07:12:00","07:12:00","02507","16","101 EmX EUGENE STATION","False","25655","","","","1"
"704728","09:27:00","09:27:00","02507","16","101 EmX EUGENE STATION","False","25655","","","","1"
"704730","11:41:00","11:41:00","02507","28","101 EmX EUGENE STATION","False","25656","","","","1"
"704732","13:58:00","13:58:00","02507","16","101 EmX EUGENE STATION","False","25655","","","","1"
"704734","16:12:00","16:12:00","02507","28","101 EmX EUGENE STATION","False","25656","","","","1"
"704736","18:27:00","18:27:00","02507","16","101 EmX EUGENE STATION","False","25655","","","","1"
"704738","20:39:00","20:39:00","02507","28","101 EmX EUGENE STATION","False","25656","","","","1"
